1,2,1,0,0,0,0,0,0,0,0,1,Injury Accident
2,3,1,1,1,0,1,0,1,1,0.5,2,Property Damage Accident
2,2,1,1,2,0,2,0,0,1,0.5,2,Property Damage Accident
1,4,1,2,0,2,0,0,0,1,1,1,Property Damage Accident
2,5,1,1,0,0,2,0,0,1,1,1,Property Damage Accident
2,2,1,2,0,0,0,0,0,1,1,1,Property Damage Accident
2,3,1,3,2,1,4,1,2,1,0.5,2,Injury Accident
1,0,1,1,3,0,0,2,0,1,0.5,2,Injury Accident
2,3,1,1,0,2,0,0,0,1,1.5,1,Injury Accident
2,3,1,1,4,0,0,3,0,1,0.5,2,Injury Accident
2,4,1,3,3,2,0,1,0,1,0.5,2,Property Damage Accident
2,0,1,1,0,0,2,3,0,1,0.5,3,Property Damage Accident
2,0,1,1,3,0,0,2,0,1,0.5,2,Injury Accident
2,4,1,4,1,0,0,0,1,1,0.5,2,Property Damage & Injury Accident
2,3,1,1,4,0,0,0,0,1,0.5,2,Property Damage Accident
2,1,2,2,0,3,0,0,0,1,1,1,Property Damage Accident
2,5,2,3,3,1,4,1,2,1,0.5,2,Injury Accident
1,6,1,1,2,0,0,0,0,1,0.5,2,Property Damage & Injury Accident
1,0,2,2,2,0,0,1,0,1,0.5,2,Injury Accident
2,1,1,4,4,0,0,4,0,1,0.5,2,Property Damage Accident
2,6,1,1,0,0,0,2,0,1,0.5,2,Injury Accident
2,0,1,1,0,3,0,0,0,1,2,1,Property Damage Accident
2,1,1,1,1,0,0,0,0,1,0.5,2,Property Damage Accident
2,1,1,1,4,0,0,3,0,1,0.5,2,Injury Accident
1,0,2,3,4,1,3,1,3,1,0.5,2,Property Damage Accident
1,4,1,1,0,0,0,2,0,2,0,1,Injury Accident
2,5,1,1,0,0,0,0,0,0,0,1,Injury Accident
2,1,1,2,0,0,0,5,0,1,1,1,Property Damage Accident
2,4,1,5,3,0,0,0,0,1,0.5,2,Property Damage Accident
1,5,1,1,0,0,0,0,0,1,1,1,Property Damage Accident
2,5,1,1,0,0,0,0,0,1,0.5,3,Property Damage & Injury Accident
2,6,1,4,4,0,0,2,0,1,0.5,2,Property Damage Accident
2,2,1,1,3,0,0,0,0,1,0.5,2,Property Damage Accident
2,6,1,2,0,0,0,0,0,1,1,1,Property Damage Accident
2,0,1,1,0,0,0,3,0,1,0.5,2,Injury Accident
2,2,1,1,0,0,0,0,0,1,0.5,3,Property Damage & Injury Accident
1,1,2,3,4,1,4,1,2,1,0.5,2,Injury Accident
2,3,1,1,3,0,2,0,0,1,0.5,2,Property Damage Accident
2,3,1,1,0,2,2,0,0,0,2.5,1,Injury Accident
2,4,1,2,0,0,0,5,0,1,1,1,Injury Accident
1,3,1,1,0,0,3,0,3,1,0.5,3,Property Damage & Injury Accident
